EDT
    Sonde serial number                          	N4820389
    Release point latitude                       	67.890327°N
    Release point longitude                      	13.979096°W
    Release point height from sea level          	0.00 m
    Balloon release date                         	12/02/18
    Balloon release time                         	11:39:16
    Surface pressure                             	979.8 hPa
    Surface temperature                          	0.0 °C
    Surface relative humidity                    	64 %
    Surface wind speed                           	12.5 m/s
    Surface wind direction                       	177°

Elapsed time	 TimeUTC	    P	 Temp	RH	 Dewp	Speed	Dir	Ecomp	Ncomp	      Lat	       Lon	AscRate	HeightMSL	GpsHeightMSL	PotTemp	SpHum	CompRng	CompAz
           s	hh:mm:ss	  hPa	   °C	 %	   °C	  m/s	  °	  m/s	  m/s	        °	         °	    m/s	        m	           m	     °C	 g/kg	      m	     °
           0	11:39:16	979.8	  0.0	64	 -6.0	 12.5	177	 -0.7	 12.5	67.890327	-13.979096	    0.0	        0	           0	    1.6	2.486	      0	     0
           1	11:39:17	979.4	  0.3	65	 -5.4	  8.6	179	 -0.1	  8.6	67.898883	-13.945238	    2.0	        3	           3	    2.0	2.602	    843	    33
           2	11:39:18	978.9	  0.9	66	 -4.8	  5.9	183	  0.3	  5.9	67.905051	-13.920849	    4.0	        7	           7	    2.6	2.714	   1452	    55
           3	11:39:19	978.1	  1.8	64	 -4.3	  5.5	182	  0.2	  5.5	67.906225	-13.916295	    4.9	       12	          13	    3.6	2.826	   1568	    55
           4	11:39:20	977.7	  2.0	63	 -4.2	  5.6	179	 -0.1	  5.6	67.906285	-13.916270	    4.5	       17	          17	    3.8	2.835	   1572	    55
           5	11:39:21	977.3	  0.9	63	 -5.2	  5.9	177	 -0.3	  5.9	67.906086	-13.917376	    4.4	       21	          21	    2.7	2.638	   1549	    55
           6	11:39:22	976.7	 -0.1	65	 -5.8	  6.1	175	 -0.5	  6.1	67.905962	-13.918221	    5.0	       26	          26	    1.8	2.521	   1533	    54
           7	11:39:23	975.9	 -0.5	67	 -5.8	  6.3	174	 -0.7	  6.3	67.905965	-13.918555	    5.6	       32	          32	    1.4	2.528	   1529	    54
           8	11:39:24	975.2	 -0.6	68	 -5.7	  6.4	172	 -0.9	  6.4	67.906043	-13.918590	    5.8	       38	          37	    1.4	2.557	   1533	    54
           9	11:39:25	974.6	 -0.6	68	 -5.7	  6.6	171	 -1.0	  6.5	67.906119	-13.918658	    5.8	       43	          43	    1.4	2.550	   1536	    54
          10	11:39:26	973.8	 -0.7	68	 -5.8	  6.7	170	 -1.2	  6.6	67.906189	-13.918768	    5.5	       49	          49	    1.4	2.530	   1537	    53
          11	11:39:27	973.2	 -0.7	68	 -5.9	  6.8	168	 -1.4	  6.7	67.906248	-13.918904	    4.8	       54	          54	    1.4	2.516	   1536	    53
          12	11:39:28	972.7	 -0.8	68	 -5.9	  6.9	167	 -1.5	  6.8	67.906301	-13.919040	    3.9	       58	          58	    1.4	2.524	   1535	    53
          13	11:39:29	972.4	 -0.8	70	 -5.6	  7.0	166	 -1.7	  6.8	67.906350	-13.919149	    3.3	       61	          61	    1.4	2.571	   1535	    52
          14	11:39:30	972.1	 -0.8	71	 -5.3	  7.1	165	 -1.8	  6.9	67.906401	-13.919211	    3.2	       64	          64	    1.4	2.634	   1536	    52
          15	11:39:31	971.6	 -0.8	72	 -5.2	  7.2	165	 -1.9	  7.0	67.906460	-13.919227	    3.6	       68	          68	    1.5	2.659	   1540	    52
          16	11:39:32	971.0	 -0.8	72	 -5.3	  7.3	164	 -2.0	  7.0	67.906531	-13.919217	    4.1	       72	          72	    1.5	2.644	   1545	    52
          17	11:39:33	970.5	 -0.9	71	 -5.4	  7.4	163	 -2.1	  7.1	67.906612	-13.919213	    4.1	       76	          76	    1.5	2.616	   1551	    51
          18	11:39:34	970.1	 -0.9	71	 -5.5	  7.4	163	 -2.2	  7.1	67.906696	-13.919240	    4.1	       80	          80	    1.5	2.590	   1556	    51
          19	11:39:35	969.6	 -1.0	70	 -5.7	  7.5	162	 -2.3	  7.1	67.906770	-13.919300	    4.1	       84	          84	    1.4	2.565	   1559	    51
          20	11:39:36	969.0	 -1.1	70	 -5.8	  7.5	161	 -2.4	  7.1	67.906823	-13.919373	    4.2	       88	          89	    1.4	2.535	   1561	    51
          21	11:39:37	968.4	 -1.1	70	 -5.9	  7.6	161	 -2.5	  7.2	67.906857	-13.919426	    3.8	       92	          93	    1.4	2.523	   1561	    50
          22	11:39:38	968.2	 -1.2	70	 -5.9	  7.6	161	 -2.5	  7.2	67.906888	-13.919444	    3.3	       96	          96	    1.4	2.525	   1563	    50
          23	11:39:39	967.9	 -1.2	70	 -5.9	  7.6	160	 -2.6	  7.2	67.906933	-13.919440	    3.4	       99	          99	    1.3	2.520	   1566	    50
          24	11:39:40	967.3	 -1.3	70	 -6.0	  7.7	160	 -2.6	  7.2	67.906999	-13.919444	    4.3	      103	         103	    1.3	2.510	   1571	    50
          25	11:39:41	966.6	 -1.3	70	 -6.0	  7.7	160	 -2.7	  7.2	67.907082	-13.919487	    4.9	      108	         108	    1.3	2.502	   1575	    50
          26	11:39:42	966.0	 -1.4	70	 -6.0	  7.7	159	 -2.7	  7.2	67.907170	-13.919583	    4.9	      113	         113	    1.4	2.503	   1579	    49
          27	11:39:43	965.5	 -1.4	71	 -6.0	  7.7	159	 -2.7	  7.2	67.907253	-13.919716	    4.4	      117	         118	    1.3	2.504	   1581	    49
          28	11:39:44	965.0	 -1.5	71	 -6.1	  7.7	159	 -2.7	  7.2	67.907326	-13.919860	    3.5	      121	         121	    1.3	2.497	   1581	    49
          29	11:39:45	964.8	 -1.5	71	 -6.1	  7.7	159	 -2.7	  7.1	67.907392	-13.920002	    2.7	      124	         124	    1.3	2.489	   1582	    48
          30	11:39:46	964.5	 -1.5	71	 -6.1	  7.6	159	 -2.7	  7.1	67.907455	-13.920131	    2.6	      126	         126	    1.3	2.488	   1582	    48
          31	11:39:47	964.1	 -1.6	71	 -6.1	  7.6	159	 -2.7	  7.1	67.907513	-13.920241	    3.0	      129	         129	    1.3	2.495	   1583	    48
          32	11:39:48	963.7	 -1.6	72	 -6.1	  7.6	159	 -2.7	  7.1	67.907567	-13.920323	    3.5	      133	         133	    1.3	2.505	   1585	    47
          33	11:39:49	963.2	 -1.7	72	 -6.0	  7.6	159	 -2.7	  7.1	67.907624	-13.920368	    3.9	      137	         137	    1.3	2.509	   1588	    47
          34	11:39:50	962.7	 -1.7	72	 -6.0	  7.6	159	 -2.7	  7.1	67.907690	-13.920385	    4.1	      141	         141	    1.3	2.509	   1592	    47
          35	11:39:51	962.2	 -1.7	72	 -6.0	  7.5	160	 -2.6	  7.1	67.907770	-13.920398	    4.3	      145	         145	    1.3	2.513	   1598	    47
          36	11:39:52	961.6	 -1.8	73	 -6.0	  7.5	160	 -2.6	  7.0	67.907857	-13.920434	    4.5	      150	         150	    1.3	2.520	   1604	    46
          37	11:39:53	961.0	 -1.8	73	 -6.0	  7.5	160	 -2.5	  7.0	67.907941	-13.920510	    4.6	      154	         154	    1.3	2.522	   1608	    46
          38	11:39:54	960.5	 -1.9	73	 -6.0	  7.5	161	 -2.5	  7.0	67.908008	-13.920619	    4.6	      159	         159	    1.3	2.516	   1610	    46
          39	11:39:55	960.0	 -1.9	73	 -6.1	  7.4	161	 -2.4	  7.0	67.908054	-13.920740	    4.7	      163	         163	    1.3	2.507	   1610	    45
          40	11:39:56	959.4	 -1.9	73	 -6.1	  7.4	162	 -2.3	  7.0	67.908084	-13.920840	    5.0	      168	         168	    1.3	2.503	   1609	    45
          41	11:39:57	958.7	 -2.0	73	 -6.1	  7.4	162	 -2.3	  7.1	67.908113	-13.920892	    5.1	      174	         174	    1.3	2.503	   1610	    45
          42	11:39:58	958.1	 -2.0	73	 -6.1	  7.4	163	 -2.2	  7.1	67.908153	-13.920895	    4.9	      179	         179	    1.3	2.500	   1613	    45
          43	11:39:59	957.6	 -2.1	74	 -6.2	  7.4	163	 -2.1	  7.1	67.908213	-13.920880	    4.5	      183	         183	    1.3	2.493	   1618	    45
          44	11:40:00	957.1	 -2.1	74	 -6.2	  7.4	164	 -2.0	  7.1	67.908292	-13.920884	    4.4	      187	         187	    1.3	2.492	   1624	    45
          45	11:40:01	956.5	 -2.2	74	 -6.2	  7.4	165	 -1.9	  7.1	67.908381	-13.920936	    4.6	      192	         192	    1.3	2.498	   1630	    44
          46	11:40:02	955.9	 -2.2	74	 -6.2	  7.4	165	 -1.9	  7.2	67.908468	-13.921034	    4.7	      197	         197	    1.3	2.499	   1634	    44
          47	11:40:03	955.4	 -2.3	74	 -6.2	  7.4	166	 -1.8	  7.2	67.908539	-13.921155	    4.7	      201	         201	    1.3	2.489	   1636	    44
          48	11:40:04	954.8	 -2.3	74	 -6.3	  7.4	167	 -1.7	  7.2	67.908589	-13.921264	    4.5	      206	         206	    1.3	2.482	   1637	    43
          49	11:40:05	954.3	 -2.4	74	 -6.3	  7.5	167	 -1.7	  7.3	67.908623	-13.921333	    4.2	      210	         210	    1.3	2.482	   1638	    43
          50	11:40:06	953.8	 -2.4	75	 -6.3	  7.5	168	 -1.6	  7.3	67.908649	-13.921349	    4.0	      214	         214	    1.3	2.485	   1639	    43
          51	11:40:07	953.4	 -2.4	75	 -6.3	  7.5	168	 -1.6	  7.4	67.908681	-13.921319	    3.8	      218	         218	    1.3	2.488	   1643	    43
          52	11:40:08	952.9	 -2.5	75	 -6.3	  7.6	169	 -1.5	  7.4	67.908726	-13.921263	    3.9	      222	         222	    1.3	2.491	   1648	    43
          53	11:40:09	952.4	 -2.5	75	 -6.3	  7.6	169	 -1.5	  7.5	67.908789	-13.921206	    4.2	      226	         226	    1.3	2.491	   1655	    43
